latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
-1.38265,122.48002,320.16,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,290.92,1.84
-2.57546,121.37843,333.46,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,289.23,4.82
-2.57492,121.375,307.82,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,289.76,4.95
-2.57599,121.38186,309.14,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,289.32,4.82
-2.57822,121.3745,337.52,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,295.48,4.95
-2.57875,121.37792,347.89,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.46,4.82
-2.57768,121.37107,300.93,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,286.79,4.95
-2.57929,121.38136,304.77,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,287.86,4.82
-2.58151,121.37399,335.67,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,291.58,4.31
-2.58205,121.37742,326.56,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,295.83,9.01
-2.58098,121.37056,300.45,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,286.76,4.31
-2.58603,121.3382,299.98,0.38,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,288.78,1
-2.82868,122.1746,332.87,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,295.1,2.98
-2.82329,122.13955,312.24,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.25,0.96
-2.82383,122.14304,306.09,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.93,0.96
-2.82545,122.15357,308.59,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.4,1.21
-2.82922,122.17809,306.79,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.52,2.98
-2.83201,122.17405,321.76,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,297.27,2.98
-2.83093,122.16707,313.59,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,296.06,3.01
-2.83309,122.1811,311.97,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,295.46,1.65
-2.83913,122.19819,330.1,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.23,4.1
-2.83426,122.16654,306.55,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.61,1.5
-2.83705,122.16252,309.91,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,295.5,2.81
-2.84029,122.18357,308.2,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.11,1.22
-2.84579,122.19717,321.85,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,292.77,3.27
-2.85144,122.16743,308.09,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.49,2.01
-2.85702,122.15939,305.36,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.01,0.86
-2.85756,122.1629,306.54,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.93,1.49
-2.86035,122.15889,309.23,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.45,1.42
-2.86089,122.1624,306.33,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,292.93,1.6
-2.86313,122.15486,318.16,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.48,1.42
-2.86592,122.1508,306.94,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,291.94,1.6
-2.86646,122.15433,305.06,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,292.67,1.05
-2.87366,122.15681,329.75,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.5,1.72
-2.87475,122.16385,319.94,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,295.91,4.41
-2.87699,122.15628,307.35,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,293.67,1.72
-2.87862,122.16685,308.64,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.07,0.97
-2.87917,122.17036,306.73,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.01,0.97
-2.88086,122.15927,334.1,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,295.37,2.62
-2.88031,122.15576,307.68,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.7,1.31
-2.8814,122.16281,312.95,0.39,0.36,2026-07-07,1720,N21,Sedang,2.0NRT,294.1,2.62
