latitude,longitude,Confidence,Sumber_Satelit,Tanggal,Provinsi_Final,Kabupaten_Final,pbph,kph,provinsi,fungsi
-1.38179,122.4814,Sedang,N21,2026-06-09,Sulawesi Tengah,Banggai,,,,APL
-1.38369,122.48022,Sedang,N21,2026-06-09,Sulawesi Tengah,Banggai,,,,APL
-2.82217,122.13902,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.82293,122.14394,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.83222,122.17334,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.833,122.17845,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.82466,122.14128,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.82977,122.17672,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.86049,122.1559,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.86125,122.16109,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.86519,122.15507,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.87612,122.16382,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.87923,122.15224,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
-2.88005,122.15778,Sedang,N21,2026-06-09,Sulawesi Tengah,Morowali,,,,APL
0.89373,124.08339,Sedang,N21,2026-06-09,Sulawesi Utara,Bolaang Mongondow,,,,APL
2.77667,125.41358,Sedang,N21,2026-06-09,Sulawesi Utara,Siau Tagulandang Biaro,,,,APL
